"date","area_type","area_code","area_name","metric","metric_name","value"
"2021-02-13","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","58.1"
"2021-02-20","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","101.6"
"2021-02-27","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","94.4"
"2021-03-06","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-03-13","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-03-20","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-03-27","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","87.1"
"2021-04-03","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","36.3"
"2021-04-10","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","123.4"
"2021-04-17","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","79.9"
"2021-04-24","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-05-01","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-05-08","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","21.8"
"2021-05-15","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","43.6"
"2021-05-22","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-05-29","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","43.6"
"2021-06-05","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","101.6"
"2021-06-12","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","65.3"
"2021-06-19","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","72.6"
"2021-06-26","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","58.1"
"2021-07-03","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","87.1"
"2021-07-10","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","94.4"
"2021-07-17","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","137.9"
"2021-07-24","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","181.5"
"2021-07-31","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","275.9"
"2021-08-07","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","246.8"
"2021-08-14","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","159.7"
"2021-08-21","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","275.9"
"2021-08-28","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","290.4"
"2021-09-04","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","319.4"
"2021-09-11","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","268.6"
"2021-09-18","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","225"
"2021-09-25","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","217.8"
"2021-10-02","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","130.7"
"2021-10-09","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","116.2"
