"date","area_type","area_code","area_name","metric","metric_name","value"
"2021-01-09","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","211.2"
"2021-01-16","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","48"
"2021-01-23","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","48"
"2021-01-30","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","38.4"
"2021-02-06","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","57.6"
"2021-02-13","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","48"
"2021-02-20","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","57.6"
"2021-02-27","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","105.6"
"2021-03-06","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","38.4"
"2021-03-13","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","124.8"
"2021-03-20","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","105.6"
"2021-03-27","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","86.4"
"2021-04-03","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","96"
"2021-04-10","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","76.8"
"2021-04-17","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-04-24","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","28.8"
"2021-05-01","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","48"
"2021-05-08","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-05-15","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-05-22","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-05-29","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-06-05","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-06-12","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","76.8"
"2021-06-19","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","172.8"
"2021-06-26","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","489.6"
"2021-07-03","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","643.2"
"2021-07-10","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","662.4"
"2021-07-17","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","960"
"2021-07-24","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","998.4"
"2021-07-31","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","278.4"
"2021-08-07","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","374.4"
"2021-08-14","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","384"
"2021-08-21","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","470.4"
"2021-08-28","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","307.2"
"2021-09-04","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","364.8"
"2021-09-11","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","201.6"
"2021-09-18","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","316.8"
"2021-09-25","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","259.2"
"2021-10-02","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","307.2"
"2021-10-09","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","240"
"2021-10-16","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","336"
"2021-10-23","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","288"
"2021-10-30","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","259.2"
"2021-11-06","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","518.4"
"2021-11-13","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","912"
"2021-11-20","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","969.6"
"2021-11-27","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","902.4"
"2021-12-04","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","1094.4"
